"id","connection","value_type","value_format","unit","custom_axis","warning_high","warning_low","alarm_high","alarm_low","comp_target_var","product","variant_set","value_symbol","name_0","name_1","description_0","description_1","archive","delta","output","allow_update_output","request_comment","numval_format","config_incomplete","offset_sec","factor","comp","comp_recalc","archive_type","plcoperand","from_import","value_max","value_min","value_setpoint","name_2","name_3","name_4","description_2","description_3","description_4","color_class_id","parent","attr_jsonb"
"571","52","0","1","","","","","","","","","","","Ziel Copy","Target Copy","","","1","","0","0","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"572","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"573","52","0","1","","","","","","","","","","","Ziel Copy 2","Target Copy","","","1","","0","0","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"574","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"575","-1","0","1","","","","","","","","","","","Ergebnis Copy Timo","Result Timo","","","0","","0","0","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"576","-1","0","1","","","","","","","","","","","Ergebnis Sum Timo","Ergebnis Sum Timo","","","0","","0","0","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"577","-1","0","1","","","","","","","","","","","Ergebnis Mult Timo","Ergebnis Mult Timo","","","0","","0","0","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"578","-1","0","1","","","","","","","","","","","Mult Op 1","Mult Op 1","","","0","","0","0","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"579","-1","0","1","","","","","","","","","","","Mult Op 2","Mult Op 2","","","0","","0","0","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"580","-1","0","1","","","","","","","","","","","Mult Op 3","Mult Op 3","","","0","","0","0","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"581","-1","0","1","","","","","","","","","","","Ergebnis Div Timo","Ergebnis Div Timo","","","0","","0","0","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"582","-1","0","1","","","","","","","","","","","Div Op 1","Div Op 1","","","0","","0","0","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"583","-1","0","1","","","","","","","","","","","Div Op 2","Div Op 2","","","0","","0","0","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"584","52","0","1","","","","","","","","","","","Ziel Sum","Target Sum","","","1","","0","0","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"585","52","0","1","","","","","","","","","","","Ziel Sum 2","Target Sum 2","","","1","","0","0","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"586","52","0","1","","","","","","","","","","","Ziel Div","Target Div","","","1","","0","0","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"587","52","0","1","","","","","","","","","","","Ziel Mult","Target Mult","","","1","","0","0","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"588","-1","0","1","","","","","","","","","","","Ergebnis Parts Timo","Result Parts Timo","","","1","","0","0","0","d#.#","0","0","1","0","0","","","","","","","","","","","","","","","null"
"589","-1","0","1","","","","","","","","","","","Parts","Parts","","","0","","0","0","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"590","544","2","1","","","","","","","","","","plc181.CNT0001","Counter 1","","","","","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"591","544","2","1","","","","","","","","","","plc181.CNT0002","Counter 2","","","","","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"592","544","2","1","","","","","","","","","","plc181.CNT0003","Counter 3","","","","","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"593","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"594","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"595","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"596","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"597","-1","0","1","","","","","","","","","","","Ergebnis Parts Shift","Result Parts Shift","","","1","","0","0","0","d#.#","0","0","1","0","0","","","","","","","","","","","","","","","null"
"598","-1","0","1","","","","","","","","","","","PartsShift","PartsShift","","","0","","0","0","0","d#0","0","0","1","0","0","","","","","","","","","","","","","","","null"
"599","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"600","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"601","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"602","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"603","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"605","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"609","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"610","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"611","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"612","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"613","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"614","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"615","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"621","3","0","1","","","","","","","","","","","TKUV1","TKUV1","","","0","","0","0","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"623","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"624","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"625","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"626","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"627","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"628","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"629","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"630","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"631","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"632","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"633","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"634","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"636","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"638","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"639","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"640","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"641","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"642","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"643","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"644","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"645","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"646","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"647","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"648","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"649","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"650","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"651","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"652","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"653","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"654","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"655","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"656","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"657","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"658","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"659","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"660","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"661","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"662","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"663","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"664","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"665","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"666","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"667","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"675","1","3","1","-110","","","","","","","","","","HC Soll","HC Target","","","1","","","","0","","0","3600","1","0","0","","","","","","","","","","","","","","","null"
"676","1","2","1","-110","","","","","","","","","","HC Ist","HC Actual","","","1","","","","0","d#.#","0","3600","1","0","0","","","","","","675","","","","","","","","","null"
"677","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"678","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"680","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"682","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"684","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"686","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"687","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"688","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"689","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"690","634","101","1","","","","","","","","","","PM_PMAKZ1.1.2.3.4.HEALTH_STATE","1.2.3.4 Health state","","","","","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"691","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"692","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"693","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"694","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"695","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"696","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"697","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"698","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"712","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"791","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"792","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"793","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"794","634","2","1","","","","","","","","","","PM_PMAKZ1.200ok","200 ok","200 ok","","","0","","0","0","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
